[2026-05-06--14-50-58 INFO actix_server::builder] starting 5 workers
[2026-05-06--14-50-58 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-05-06--14-50-58 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-05-06--14-50-58 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-05-06--15-40-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50190.
[2026-05-06--15-40-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51180.
[2026-05-06--15-42-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51988.
[2026-05-06--15-43-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53025.
[2026-05-06--15-44-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53525.
[2026-05-06--15-45-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54000.
[2026-05-06--15-45-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54409.
[2026-05-06--15-46-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54860.
[2026-05-06--15-46-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55379.
[2026-05-06--15-47-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55785.
[2026-05-06--16-20-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59867.
[2026-05-06--16-56-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50571.
[2026-05-06--16-56-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50572.
[2026-05-06--16-56-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50715.
[2026-05-06--16-57-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51186.
[2026-05-06--17-18-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58472.
[2026-05-06--17-20-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59086.
[2026-05-06--17-21-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59406.
[2026-05-06--17-21-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59416.
[2026-05-06--17-21-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59418.
[2026-05-06--17-21-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59447.
[2026-05-06--18-33-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50777.
[2026-05-06--18-33-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50780.
[2026-05-06--18-33-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51007.
[2026-05-06--18-33-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51040.
[2026-05-06--18-33-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51198.
[2026-05-06--18-34-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51537.
[2026-05-06--18-35-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51904.
[2026-05-06--18-35-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51910.
[2026-05-06--18-35-54 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:51917.
[2026-05-06--18-44-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54626.
[2026-05-06--18-44-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54628.
[2026-05-06--18-44-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54758.
[2026-05-06--18-44-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54761.
[2026-05-06--18-44-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54780.
[2026-05-06--18-44-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54851.
[2026-05-06--18-45-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55124.
[2026-05-06--18-45-55 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55169.
[2026-05-06--18-46-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55246.
[2026-05-06--18-46-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55249.
[2026-05-06--18-47-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55262.
[2026-05-06--19-00-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:56308.
[2026-05-06--19-07-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57208.
[2026-05-06--19-07-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57212.
[2026-05-06--19-07-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57232.
[2026-05-06--19-07-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57238.
[2026-05-06--19-07-58 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57239.
[2026-05-06--19-08-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57252.
[2026-05-06--19-08-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57269.
[2026-05-06--19-11-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57846.
[2026-05-06--19-11-07 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57860.
[2026-05-06--19-11-10 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57878.
[2026-05-06--19-11-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57922.
[2026-05-06--19-11-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57949.
[2026-05-06--19-11-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57950.
[2026-05-06--19-11-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57958.
[2026-05-06--19-11-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:57967.
[2026-05-06--19-12-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58069.
[2026-05-06--19-12-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58143.
[2026-05-06--19-13-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58204.
[2026-05-06--19-13-48 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58206.
[2026-05-06--19-13-49 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58208.
[2026-05-06--19-13-53 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58220.
[2026-05-06--19-19-23 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58647.
[2026-05-06--19-21-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59324.
[2026-05-06--19-22-44 INFO actix_server::worker] shutting down idle worker
[2026-05-06--19-22-44 INFO actix_server::worker] shutting down idle worker
[2026-05-06--19-22-44 INFO actix_server::worker] shutting down idle worker
[2026-05-06--19-22-44 INFO actix_server::accept] accept thread stopped
[2026-05-06--19-22-44 INFO actix_server::worker] shutting down idle worker
[2026-05-06--19-22-44 INFO actix_server::worker] shutting down idle worker
